标签类型,一级标签值
电商品类成交偏好,搬运仓储物流设备
电商品类成交偏好,食品卡券
电商品类成交偏好,电影演出赛事
电商品类成交偏好,二手车
电商品类成交偏好,特医食品
电商品类成交偏好,二手3C数码
电商品类成交偏好,房产
电商品类成交偏好,兑换卡
电商品类成交偏好,假发及配件
电商品类成交偏好,汽车售后服务
电商品类成交偏好,数字阅读
电商品类成交偏好,保证金
电商品类成交偏好,生鲜
电商品类成交偏好,洗护清洁剂卫生巾纸香薰-消毒用品
电商品类成交偏好,洗护清洁剂卫生巾纸香薰-衣物清洁剂护理剂
电商品类成交偏好,洗护清洁剂卫生巾纸香薰-中老年护理用品
电商品类成交偏好,洗护清洁剂卫生巾纸香薰-家庭环境清洁剂
电商品类成交偏好,洗护清洁剂卫生巾纸香薰-清洁泡泡慕斯
电商品类成交偏好,洗护清洁剂卫生巾纸香薰-家私皮具护理品
电商品类成交偏好,洗护清洁剂卫生巾纸香薰-室内除臭芳香用品
电商品类成交偏好,洗护清洁剂卫生巾纸香薰-驱虫用品
电商品类成交偏好,洗护清洁剂卫生巾纸香薰-纸品湿巾
电商品类成交偏好,洗护清洁剂卫生巾纸香薰-其它
电商品类成交偏好,个人护理-手部护理
电商品类成交偏好,个人护理-卫生巾私处护理
电商品类成交偏好,个人护理-个护用具
电商品类成交偏好,个人护理-口腔护理
电商品类成交偏好,个人护理-洗发护发
电商品类成交偏好,个人护理-染发烫发头发造型
电商品类成交偏好,个人护理-润唇膏
电商品类成交偏好,个人护理-身体清洁
电商品类成交偏好,个人护理-身体精油芳疗
电商品类成交偏好,个人护理-身体护理
电商品类成交偏好,个人护理-男士美发护发
电商品类成交偏好,个人护理-足部护理
电商品类成交偏好,个人护理-隐形眼镜护理液
电商品类成交偏好,个人护理-男士身体护理
电商品类成交偏好,零食坚果特产-饼干膨化
电商品类成交偏好,零食坚果特产-糕点点心面包
电商品类成交偏好,零食坚果特产-巧克力
电商品类成交偏好,零食坚果特产-豆干制品蔬菜干
电商品类成交偏好,零食坚果特产-肉干肉脯熏腊卤味肉类熟食
电商品类成交偏好,零食坚果特产-蜜饯果干水果制品
电商品类成交偏好,零食坚果特产-糖果零食果冻布丁
电商品类成交偏好,零食坚果特产-即食水产海味零食
电商品类成交偏好,零食坚果特产-山核桃坚果炒货
电商品类成交偏好,零食坚果特产-其它
电商品类成交偏好,零食坚果特产-地方特产
电商品类成交偏好,内衣裤袜-睡衣
电商品类成交偏好,内衣裤袜-少女文胸
电商品类成交偏好,内衣裤袜-吊带背心
电商品类成交偏好,内衣裤袜-塑身衣
电商品类成交偏好,内衣裤袜-吊袜带
电商品类成交偏好,内衣裤袜-袜子
电商品类成交偏好,内衣裤袜-内裤
电商品类成交偏好,内衣裤袜-女士内衣
电商品类成交偏好,内衣裤袜-内衣配件
电商品类成交偏好,内衣裤袜-保暖内衣
电商品类成交偏好,男装-棉衣
电商品类成交偏好,男装-套装
电商品类成交偏好,男装-毛呢大衣
电商品类成交偏好,男装-牛仔裤
电商品类成交偏好,男装-羊毛衫
电商品类成交偏好,男装-卫衣
电商品类成交偏好,男装-T恤
电商品类成交偏好,男装-Polo衫
电商品类成交偏好,男装-卫裤
电商品类成交偏好,男装-大码男装
电商品类成交偏好,男装-羽绒服
电商品类成交偏好,男装-皮衣
电商品类成交偏好,男装-民族服装
电商品类成交偏好,男装-短裤
电商品类成交偏好,男装-衬衫
电商品类成交偏好,男装-背心
电商品类成交偏好,男装-马甲
电商品类成交偏好,男装-针织衫毛衣
电商品类成交偏好,男装-羊绒衫
电商品类成交偏好,男装-西服
电商品类成交偏好,男装-中老年男装
电商品类成交偏好,男装-羽绒裤
电商品类成交偏好,男装-设计师潮牌男装
电商品类成交偏好,男装-风衣
电商品类成交偏好,男装-棉裤
电商品类成交偏好,男装-休闲裤
电商品类成交偏好,男装-夹克
电商品类成交偏好,男装-羽绒马甲
电商品类成交偏好,粮油米面南北干货调味品-南北干货肉类干货
电商品类成交偏好,粮油米面南北干货调味品-调味品果酱沙拉
电商品类成交偏好,粮油米面南北干货调味品-米面粉杂粮
电商品类成交偏好,粮油米面南北干货调味品-食用油调味油
电商品类成交偏好,粮油米面南北干货调味品-方便速食冷藏食品
电商品类成交偏好,粮油米面南北干货调味品-烘焙原料辅料食品添加剂
电商品类成交偏好,粮油米面南北干货调味品-其他食品
电商品类成交偏好,粮油米面南北干货调味品-轻食简餐
电商品类成交偏好,家庭个人清洁工具-家务地板清洁用具
电商品类成交偏好,家庭个人清洁工具-车载清洁用具
电商品类成交偏好,家庭个人清洁工具-个人洗护清洁用具
电商品类成交偏好,家庭个人清洁工具-卫浴置物用具
电商品类成交偏好,3C数码配件-MP3MP4配件
电商品类成交偏好,3C数码配件-直播摄影周边设备
电商品类成交偏好,3C数码配件-车载数码配件
电商品类成交偏好,3C数码配件-数码包收纳整理
电商品类成交偏好,3C数码配件-USB数码周边
电商品类成交偏好,3C数码配件-干电池充电电池套
电商品类成交偏好,3C数码配件-手机配件
电商品类成交偏好,3C数码配件-笔记本电脑配件
电商品类成交偏好,3C数码配件-便携电源
电商品类成交偏好,3C数码配件-数码周边
电商品类成交偏好,3C数码配件-平板电脑配件
电商品类成交偏好,女装-毛针织衫
电商品类成交偏好,女装-棉衣棉服
电商品类成交偏好,女装-设计师潮牌女装
电商品类成交偏好,女装-皮衣
电商品类成交偏好,女装-婚纱旗袍礼服
电商品类成交偏好,女装-套装学生校服工作制服
电商品类成交偏好,女装-中老年女装
电商品类成交偏好,女装-羊毛衫
电商品类成交偏好,女装-卫衣绒衫
电商品类成交偏好,女装-风衣
电商品类成交偏好,女装-T恤
电商品类成交偏好,女装-半身裙
电商品类成交偏好,女装-西装
电商品类成交偏好,女装-POLO衫
电商品类成交偏好,女装-羽绒服
电商品类成交偏好,女装-毛呢外套
电商品类成交偏好,女装-裤子
电商品类成交偏好,女装-羊绒衫
电商品类成交偏好,女装-抹胸
电商品类成交偏好,女装-连衣裙
电商品类成交偏好,女装-蕾丝衫雪纺衫
电商品类成交偏好,女装-衬衫
电商品类成交偏好,女装-背心吊带
电商品类成交偏好,女装-短裤
电商品类成交偏好,女装-皮草
电商品类成交偏好,女装-大码女装
电商品类成交偏好,女装-连体衣裤
电商品类成交偏好,女装-短外套
电商品类成交偏好,女装-毛衣
电商品类成交偏好,女装-马夹
电商品类成交偏好,女装-唐装民族服装舞台服装
电商品类成交偏好,女装-派克服
电商品类成交偏好,居家日用-钟
电商品类成交偏好,居家日用-创意礼品
电商品类成交偏好,居家日用-保暖贴怀炉保暖用品
电商品类成交偏好,居家日用-装扮用品
电商品类成交偏好,居家日用-书写板
电商品类成交偏好,居家日用-防护用品
电商品类成交偏好,居家日用-伞雨具防雨防潮
电商品类成交偏好,居家日用-台历
电商品类成交偏好,居家日用-婚庆用品
电商品类成交偏好,居家日用-家居健康用品
电商品类成交偏好,居家日用-挂历
电商品类成交偏好,居家日用-驱虫用品
电商品类成交偏好,居家日用-美体塑身塑形增高用具
电商品类成交偏好,居家日用-家用五金工具
电商品类成交偏好,居家日用-居家日用套装
电商品类成交偏好,居家日用-鞋用品
电商品类成交偏好,居家日用-扇迷你风扇配件冰垫冰贴
电商品类成交偏好,水果蔬菜-蔬菜蔬菜制品
电商品类成交偏好,水果蔬菜-水果
电商品类成交偏好,美容护肤-T区护理
电商品类成交偏好,美容护肤-防晒
电商品类成交偏好,美容护肤-唇部护理
电商品类成交偏好,美容护肤-眼部护理
电商品类成交偏好,美容护肤-面部护肤
电商品类成交偏好,美容护肤-旅行装体验装
电商品类成交偏好,美容护肤-男士护肤
电商品类成交偏好,咖啡麦片冲饮-食补粉
电商品类成交偏好,咖啡麦片冲饮-速溶咖啡咖啡豆粉
电商品类成交偏好,咖啡麦片冲饮-乳制品
电商品类成交偏好,咖啡麦片冲饮-奶酪奶制品
电商品类成交偏好,咖啡麦片冲饮-冰淇淋
电商品类成交偏好,咖啡麦片冲饮-其它饮品
电商品类成交偏好,咖啡麦片冲饮-饮料
电商品类成交偏好,咖啡麦片冲饮-全家营养奶粉
电商品类成交偏好,咖啡麦片冲饮-驼奶及驼奶粉
电商品类成交偏好,咖啡麦片冲饮-藕粉麦片冲饮品
电商品类成交偏好,彩妆香水美妆工具-面部美容工具
电商品类成交偏好,彩妆香水美妆工具-香水香膏
电商品类成交偏好,彩妆香水美妆工具-体验装
电商品类成交偏好,彩妆香水美妆工具-其他彩妆
电商品类成交偏好,彩妆香水美妆工具-眼部彩妆
电商品类成交偏好,彩妆香水美妆工具-美妆工具
电商品类成交偏好,彩妆香水美妆工具-美体工具
电商品类成交偏好,彩妆香水美妆工具-指甲油美甲产品美甲工具
电商品类成交偏好,彩妆香水美妆工具-男士香水香膏
电商品类成交偏好,彩妆香水美妆工具-纹身贴
电商品类成交偏好,彩妆香水美妆工具-男士彩妆
电商品类成交偏好,彩妆香水美妆工具-彩妆套装
电商品类成交偏好,彩妆香水美妆工具-面部彩妆
电商品类成交偏好,彩妆香水美妆工具-唇部彩妆
电商品类成交偏好,收纳整理-旅行收纳用具
电商品类成交偏好,收纳整理-家庭收纳用具
电商品类成交偏好,收纳整理-衣物洗晒护理用具
电商品类成交偏好,收纳整理-家庭防尘用具
电商品类成交偏好,收纳整理-车载收纳
电商品类成交偏好,收纳整理-家庭整理用具
电商品类成交偏好,餐饮具-杯子水杯水壶
电商品类成交偏好,餐饮具-咖啡器具
电商品类成交偏好,餐饮具-餐具
电商品类成交偏好,餐饮具-一次性餐桌用品
电商品类成交偏好,餐饮具-酒壶酒杯酒具
电商品类成交偏好,餐饮具-保鲜容器保鲜器皿
电商品类成交偏好,居家布艺-防尘保护罩
电商品类成交偏好,居家布艺-十字绣及工具配件
电商品类成交偏好,居家布艺-居家鞋凉拖棉拖(新)
电商品类成交偏好,居家布艺-地垫
电商品类成交偏好,居家布艺-海绵垫布料面料手工diy
电商品类成交偏好,居家布艺-窗帘门帘及配件
电商品类成交偏好,居家布艺-毛巾浴巾浴袍
电商品类成交偏好,居家布艺-缝纫DIY材料、工具及成品
电商品类成交偏好,居家布艺-地毯
电商品类成交偏好,居家布艺-靠枕抱枕新
电商品类成交偏好,居家布艺-家纺布艺布料面料缝制服务
电商品类成交偏好,居家布艺-刺绣套件
电商品类成交偏好,居家布艺-床边毯
电商品类成交偏好,居家布艺-坐垫椅垫沙发垫
电商品类成交偏好,居家布艺-餐桌布艺
电商品类成交偏好,时尚饰品-手链
电商品类成交偏好,时尚饰品-项链
电商品类成交偏好,时尚饰品-项坠吊坠
电商品类成交偏好,时尚饰品-DIY配件
电商品类成交偏好,时尚饰品-婚庆饰品
电商品类成交偏好,时尚饰品-戒指指环
电商品类成交偏好,时尚饰品-脚链
电商品类成交偏好,时尚饰品-耳饰
电商品类成交偏好,时尚饰品-首饰收纳
电商品类成交偏好,时尚饰品-发饰
电商品类成交偏好,时尚饰品-银饰
电商品类成交偏好,时尚饰品-手镯
电商品类成交偏好,时尚饰品-胸针
电商品类成交偏好,厨房烹饪用具-厨用小工具厨房储物
电商品类成交偏好,厨房烹饪用具-烧烤烘焙用具
电商品类成交偏好,厨房烹饪用具-烹饪用具
电商品类成交偏好,汽车用品-汽车服务
电商品类成交偏好,汽车用品-汽车外饰品外饰加装
电商品类成交偏好,汽车用品-汽车电子电器
电商品类成交偏好,汽车用品-汽车清洗美容养护
电商品类成交偏好,汽车用品-汽车文化
电商品类成交偏好,汽车用品-汽车内饰用品
电商品类成交偏好,汽车用品-汽车安全防护用品
电商品类成交偏好,服饰配件皮带帽子围巾-耳套
电商品类成交偏好,服饰配件皮带帽子围巾-防晒护具
电商品类成交偏好,服饰配件皮带帽子围巾-领部配件
电商品类成交偏好,服饰配件皮带帽子围巾-婚纱礼服配件
电商品类成交偏好,服饰配件皮带帽子围巾-鞋包皮带配件
电商品类成交偏好,服饰配件皮带帽子围巾-围巾手套帽子套件
电商品类成交偏好,服饰配件皮带帽子围巾-帽子
电商品类成交偏好,服饰配件皮带帽子围巾-口袋巾
电商品类成交偏好,服饰配件皮带帽子围巾-DIY编织材料包
电商品类成交偏好,服饰配件皮带帽子围巾-围巾丝巾披肩
电商品类成交偏好,服饰配件皮带帽子围巾-袖套
电商品类成交偏好,服饰配件皮带帽子围巾-手套
电商品类成交偏好,服饰配件皮带帽子围巾-袖扣
电商品类成交偏好,服饰配件皮带帽子围巾-腰带皮带腰链
电商品类成交偏好,女鞋-帆布鞋
电商品类成交偏好,女鞋-靴子
电商品类成交偏好,女鞋-雨鞋
电商品类成交偏好,女鞋-低帮鞋
电商品类成交偏好,女鞋-拖鞋
电商品类成交偏好,女鞋-高跟鞋
电商品类成交偏好,女鞋-女鞋配件
电商品类成交偏好,女鞋-凉鞋
电商品类成交偏好,女鞋-高帮鞋
电商品类成交偏好,肉蛋低温制品-蛋蛋制品
电商品类成交偏好,肉蛋低温制品-猪牛羊禽肉及制品
电商品类成交偏好,肉蛋低温制品-冷藏冷冻食品
电商品类成交偏好,肉蛋低温制品-方便菜
电商品类成交偏好,家居饰品-家居香薰
电商品类成交偏好,家居饰品-摆件
电商品类成交偏好,家居饰品-贴饰
电商品类成交偏好,家居饰品-汽车用品内饰品
电商品类成交偏好,家居饰品-其他工艺饰品
电商品类成交偏好,家居饰品-家居钟饰闹钟
电商品类成交偏好,家居饰品-相框画框
电商品类成交偏好,家居饰品-工艺扇
电商品类成交偏好,家居饰品-蜡烛烛台
电商品类成交偏好,家居饰品-装饰挂牌
电商品类成交偏好,家居饰品-户外庭院摆件
电商品类成交偏好,家居饰品-流水摆件
电商品类成交偏好,家居饰品-装饰画
电商品类成交偏好,家居饰品-创意饰品
电商品类成交偏好,家居饰品-装饰器皿
电商品类成交偏好,家居饰品-照片照片墙
电商品类成交偏好,家居饰品-装饰挂钩
电商品类成交偏好,书籍杂志报纸-社会科学
电商品类成交偏好,书籍杂志报纸-育儿书籍
电商品类成交偏好,书籍杂志报纸-自由组合套装
电商品类成交偏好,书籍杂志报纸-艺术
电商品类成交偏好,书籍杂志报纸-保健心理类书籍
