标签类型,一级标签
天猫通用人群_生活方式,精致居家族
天猫通用人群_生活方式,美食爱好者
天猫通用人群_生活方式,电竞极客
天猫通用人群_生活方式,爱车族
天猫通用人群_生活方式,奋进青年
熬夜青年,是
品质生活偏好,是
健身偏好,是
生活兴趣,囤货小当家
生活兴趣,DIY达人
生活兴趣,理想家
生活兴趣,杯子控
生活兴趣,智慧家
生活兴趣,装修家
生活兴趣,绿植控
生活兴趣,旅行家
生活兴趣,多肉控
生活兴趣,机车骑士
科技兴趣,炫酷极客控
科技兴趣,摄影发烧友
科技兴趣,耳机发烧友
运动兴趣,棒球小子
运动兴趣,滑雪族
运动兴趣,瑜伽修炼者
运动兴趣,网球小子
运动兴趣,户外运动控
运动兴趣,想要瘦瘦瘦
运动兴趣,登山爱好者
运动兴趣,骑行控
运动兴趣,羽球小子
运动兴趣,健身狂人
运动兴趣,极限挑战控
运动兴趣,酷跑一族
运动兴趣,灵魂冲浪手
运动兴趣,滑板少年
运动兴趣,水中飞鱼
运动兴趣,爱上高尔夫
运动兴趣,超强灌篮手
运动兴趣,攀岩主义
运动兴趣,乒乓小将
运动兴趣,轮滑社
运动兴趣,足球爱好者
运动兴趣,极限飞盘社
美食兴趣,吃货的后裔
美食兴趣,养生达人
美食兴趣,早餐君
美食兴趣,重口味星人
美食兴趣,水果大咖
美食兴趣,吃不胖星人
美食兴趣,无辣不欢者
美食兴趣,火锅爱好者
美食兴趣,咖啡控
美食兴趣,烘焙爱好者
美食兴趣,品酒大师
美食兴趣,茶道中人
时尚兴趣,美体师
时尚兴趣,美白需求者
时尚兴趣,Bling控
时尚兴趣,美发达人
时尚兴趣,素颜女神
时尚兴趣,美鞋控
时尚兴趣,干皮星人
时尚兴趣,油皮星人
时尚兴趣,日系美妆控
时尚兴趣,香氛控
时尚兴趣,欧美妆容控
时尚兴趣,美容师
时尚兴趣,口红控
时尚兴趣,旗袍女子
时尚兴趣,潮鞋宠儿
电影风格偏好,言情
电影风格偏好,喜剧
电影风格偏好,推理
电影风格偏好,战争
电影风格偏好,科幻
电影风格偏好,青春
电影风格偏好,奇幻
电影风格偏好,恐怖
电影风格偏好,警匪
电影风格偏好,悬疑
电影风格偏好,动作
电影风格偏好,家庭
电影风格偏好,武侠
电影风格偏好,纪录片
电影风格偏好,文艺
电影风格偏好,运动
电影风格偏好,动画
电影风格偏好,剧情
电影风格偏好,短片
电影风格偏好,历史
电影风格偏好,古装
电影风格偏好,生活
电影风格偏好,传记
电影风格偏好,网络大电影
电影风格偏好,都市
电影风格偏好,冒险
电影风格偏好,神话
电影风格偏好,少儿
电影风格偏好,文化
电影风格偏好,社会
电影风格偏好,教育
视频类型偏好,影视剧
视频类型偏好,娱乐
视频类型偏好,社会
视频类型偏好,搞笑
视频类型偏好,综艺
视频类型偏好,国际
视频类型偏好,音乐
视频类型偏好,体育
视频类型偏好,萌宠
视频类型偏好,记录短片
视频类型偏好,美食
视频类型偏好,汽车
视频类型偏好,军事
视频类型偏好,动漫
视频类型偏好,萌娃
视频类型偏好,涨姿势
视频类型偏好,历史
视频类型偏好,时尚
视频类型偏好,科技
视频类型偏好,旅游
视频类型偏好,游戏
视频类型偏好,科学探索
视频类型偏好,国内
视频类型偏好,健康
视频类型偏好,育儿
视频类型偏好,房产
视频类型偏好,语言类
视频类型偏好,财经
视频类型偏好,教育
视频类型偏好,星座
视频类型偏好,奇闻
综艺风格偏好,真人秀
综艺风格偏好,晚会
综艺风格偏好,竞技
综艺风格偏好,音乐
综艺风格偏好,脱口秀
综艺风格偏好,美食
综艺风格偏好,舞蹈
综艺风格偏好,喜剧
综艺风格偏好,社会
综艺风格偏好,文化
综艺风格偏好,娱乐
综艺风格偏好,选秀
综艺风格偏好,访谈
综艺风格偏好,少儿
综艺风格偏好,生活
综艺风格偏好,搞笑
综艺风格偏好,旅游
综艺风格偏好,青春
综艺风格偏好,游戏
综艺风格偏好,汽车
综艺风格偏好,时尚
综艺风格偏好,育儿
综艺风格偏好,科技
电视剧风格偏好,言情
电视剧风格偏好,都市
电视剧风格偏好,家庭
电视剧风格偏好,古装
电视剧风格偏好,悬疑
电视剧风格偏好,喜剧
电视剧风格偏好,剧情
电视剧风格偏好,警匪
电视剧风格偏好,历史
电视剧风格偏好,战争
电视剧风格偏好,青春
电视剧风格偏好,农村
电视剧风格偏好,奇幻
电视剧风格偏好,武侠
电视剧风格偏好,军事
电视剧风格偏好,偶像
电视剧风格偏好,优酷出品
电视剧风格偏好,搞笑
电视剧风格偏好,推理
电视剧风格偏好,神话
电视剧风格偏好,网剧
电视剧风格偏好,传记
电视剧风格偏好,时装
电视剧风格偏好,恐怖
电视剧风格偏好,科幻
电视剧风格偏好,动作
电视剧风格偏好,少儿
电视剧风格偏好,冒险
电视剧风格偏好,短片
电视剧风格偏好,文艺
电视剧风格偏好,教育
预测权益分享影响力分层,L1-1
预测权益分享影响力分层,L1-2
预测权益分享影响力分层,L1-3
预测权益分享影响力分层,L1-4
预测权益分享影响力分层,L1-5
预测权益分享影响力分层,L2
预测权益分享影响力分层,L3
预测权益分享影响力分层,L4
预测权益分享影响力分层,L5
内容类型偏好人群,产品展示
内容类型偏好人群,外观展示
内容类型偏好人群,卖点导购
内容类型偏好人群,卖点讲解
内容类型偏好人群,教程
内容类型偏好人群,使用教程
内容类型偏好人群,使用展示
内容类型偏好人群,运动教程
内容类型偏好人群,其他教程
内容类型偏好人群,真人导购
内容类型偏好人群,工厂溯源
内容类型偏好人群,买家秀
内容类型偏好人群,吃播
内容类型偏好人群,居住游戏
内容类型偏好人群,清洁护理
内容类型偏好人群,ootd
内容类型偏好人群,情景剧场
内容类型偏好人群,喂食保健
内容类型偏好人群,测评实验
内容类型偏好人群,新手养宠
内容类型偏好人群,DIY
内容类型偏好人群,携宠出行
内容类型偏好人群,上身口播
内容类型偏好人群,场景展示
内容类型偏好人群,模特摆拍
内容类型偏好人群,开箱体验
内容类型偏好人群,生活记录
内容类型偏好人群,vlog
内容类型偏好人群,成分解析
内容类型偏好人群,开箱
内容类型偏好人群,评测实验
内容类型偏好人群,广告tvc
内容类型偏好人群,其他口播
内容类型偏好人群,专业讲解
内容类型偏好人群,评测
内容类型偏好人群,达人推荐
内容类型偏好人群,直播讲解
内容类型偏好人群,垂钓实录
内容类型偏好人群,探店
内容类型偏好人群,纯广告
内容类型偏好人群,变装穿搭
内容类型偏好人群,合集
内容类型偏好人群,直播切片
月均品牌自播间观看时长,高
月均品牌自播间观看时长,中高
月均品牌自播间观看时长,中
月均品牌自播间观看时长,中低
月均品牌自播间观看时长,低
月均直播全量观看时长,高
月均直播全量观看时长,中高
月均直播全量观看时长,中
月均直播全量观看时长,中低
月均直播全量观看时长,低
月均直播观看场次,高
月均直播观看场次,中高
月均直播观看场次,中
月均直播观看场次,中低
月均直播观看场次,低
月均品牌自播间观看场次,中高
月均品牌自播间观看场次,高
月均品牌自播间观看场次,中
月均品牌自播间观看场次,低
月均直播购物金额,中高
月均直播购物金额,高
月均直播购物金额,低
月均直播购物金额,中
月均直播购物金额,中低
累计品牌自播间购物金额,中高
累计品牌自播间购物金额,高
累计品牌自播间购物金额,低
累计品牌自播间购物金额,中
累计品牌自播间购物金额,中低
一级类目高偏好,珠宝/钻石/翡翠/黄金
一级类目高偏好,女装/女士精品
一级类目高偏好,女鞋
一级类目高偏好,运动服/休闲服装
一级类目高偏好,饰品/流行首饰/时尚饰品新
一级类目高偏好,服饰配件/皮带/帽子/围巾
一级类目高偏好,女士内衣/男士内衣/家居服
一级类目高偏好,童装/婴儿装/亲子装
一级类目高偏好,箱包皮具/热销女包/男包
一级类目高偏好,运动包/户外包/配件
一级类目高偏好,其他
一级类目高偏好,书籍/杂志/报纸
一级类目高偏好,床上用品
一级类目高偏好,美容护肤/美体/精油
一级类目高偏好,餐饮具
一级类目高偏好,家居饰品
一级类目高偏好,童鞋/婴儿鞋/亲子鞋
一级类目高偏好,生活电器
一级类目高偏好,保健食品/膳食营养补充食品
一级类目高偏好,住宅家具
一级类目高偏好,彩妆/香水/美妆工具
一级类目高偏好,盒马
一级类目高偏好,户外/登山/野营/旅行用品
一级类目高偏好,婴童用品
一级类目高偏好,运动鞋new
一级类目高偏好,运动/瑜伽/健身/球迷用品
一级类目高偏好,个性定制/设计服务/DIY
一级类目高偏好,居家布艺
一级类目高偏好,水产肉类/新鲜蔬果/熟食
一级类目高偏好,咖啡/麦片/冲饮
一级类目高偏好,节庆用品/礼品
一级类目高偏好,个人护理/保健/按摩器材
一级类目高偏好,宠物/宠物食品及用品
一级类目高偏好,ZIPPO/瑞士军刀/眼镜
一级类目高偏好,传统滋补营养品
一级类目高偏好,厨房电器
一级类目高偏好,收纳整理
一级类目高偏好,医疗器械
一级类目高偏好,美发护发/假发
一级类目高偏好,3C数码配件
一级类目高偏好,男装
一级类目高偏好,家装灯饰光源
一级类目高偏好,文具电教/文化用品/商务用品
一级类目高偏好,玩具/童车/益智/积木/模型
一级类目高偏好,零食/坚果/特产
一级类目高偏好,保健用品
一级类目高偏好,鲜花速递/花卉仿真/绿植园艺
一级类目高偏好,茶
一级类目高偏好,奶粉/辅食/营养品/零食
一级类目高偏好,美容美体仪器
一级类目高偏好,厨房/烹饪用具
一级类目高偏好,大家电
一级类目高偏好,家装主材
一级类目高偏好,智能设备
一级类目高偏好,粮油调味/速食/干货/烘焙
一级类目高偏好,洗护清洁剂/卫生巾/纸/香薰
一级类目高偏好,隐形眼镜/护理液
一级类目高偏好,OTC药品/国际医药
一级类目高偏好,自用闲置转让
一级类目高偏好,办公设备/耗材/相关服务
一级类目高偏好,家庭/个人清洁工具
一级类目高偏好,孕妇装/孕产妇用品/营养
一级类目高偏好,流行男鞋
一级类目高偏好,居家日用
一级类目高偏好,影音电器
一级类目高偏好,模玩/动漫/周边/娃圈三坑/桌游
一级类目高偏好,特色手工艺
一级类目高偏好,手表
一级类目高偏好,商业/办公家具
一级类目高偏好,包装
一级类目高偏好,婴童尿裤
一级类目高偏好,手机
一级类目高偏好,基础建材
一级类目高偏好,汽车用品/电子/清洗/改装
一级类目高偏好,电子/电工
一级类目高偏好,处方药
一级类目高偏好,购物金
一级类目高偏好,全屋定制
一级类目高偏好,数字生活
一级类目高偏好,数码相机/单反相机/摄像机
一级类目高偏好,度假线路/签证送关/旅游服务
一级类目高偏好,商务/设计服务
一级类目高偏好,纺织面料/辅料/配套
一级类目高偏好,自行车/骑行装备/零配件
一级类目高偏好,电脑硬件/显示器/电脑周边
一级类目高偏好,餐饮美食卡券
一级类目高偏好,文玩/邮币/字画/收藏
一级类目高偏好,乐器/吉他/钢琴/配件
一级类目高偏好,平板电脑/MID
一级类目高偏好,电动车/配件/交通工具
一级类目高偏好,电玩/配件/游戏/攻略
一级类目高偏好,教育培训
一级类目高偏好,移动/联通/电信充值中心
一级类目高偏好,笔记本电脑
一级类目高偏好,五金/工具
一级类目高偏好,机票/小交通/增值服务
一级类目高偏好,计生用品
一级类目高偏好,特价酒店/特色客栈/公寓旅馆
一级类目高偏好,本地化生活服务
一级类目高偏好,家庭保健
一级类目高偏好,汽车零部件/养护/美容/维保
一级类目高偏好,购物提货券
一级类目高偏好,闪存卡/U盘/存储/移动硬盘
一级类目高偏好,摩托车/装备/配件
一级类目高偏好,网络设备/网络相关
一级类目高偏好,景点门票/演艺演出/周边游
一级类目高偏好,金属材料及制品
一级类目高偏好,电子元器件市场
一级类目高偏好,标准件/零部件/工业耗材
一级类目高偏好,工业油品/胶粘/化学/实验室用品
一级类目高偏好,游戏服务
一级类目高偏好,MP3/MP4/iPod/录音笔
一级类目高偏好,品牌台机/品牌一体机/服务器
一级类目高偏好,电影/演出/体育赛事
一级类目高偏好,音乐/影视/明星/音像
一级类目高偏好,司法拍卖拍品专用
一级类目高偏好,清洗/食品/商业设备
一级类目高偏好,二手数码
一级类目高偏好,公益
一级类目高偏好,网络游戏点卡
一级类目高偏好,体检/医疗保障卡
一级类目高偏好,DIY电脑
一级类目高偏好,门店O2O
一级类目高偏好,机械设备
一级类目高偏好,农用物资
一级类目高偏好,手机号码/套餐/增值业务
一级类目高偏好,线下消费卡
一级类目高偏好,畜牧/养殖物资
一级类目高偏好,橡塑材料及制品
一级类目高偏好,网络店铺代金/优惠券
一级类目高偏好,网店/网络服务/软件
一级类目高偏好,医疗及健康服务
一级类目高偏好,享淘卡
一级类目高偏好,资产（政府类专用）
一级类目高偏好,农机/农具/农膜
一级类目高偏好,合约机
一级类目高偏好,搬运/仓储/物流设备
一级类目高偏好,装修设计/施工/监理
一级类目高偏好,兑换卡
一级类目高偏好,数字阅读
一级类目高偏好,闲鱼优品
二级类目高偏好,毛针织衫
二级类目高偏好,半身裙
二级类目高偏好,毛呢外套
二级类目高偏好,衬衫
二级类目高偏好,围巾/丝巾/披肩
二级类目高偏好,毛衣
二级类目高偏好,皮草
二级类目高偏好,短外套
二级类目高偏好,裤子
二级类目高偏好,羽绒服
二级类目高偏好,连衣裙
二级类目高偏好,T恤
二级类目高偏好,西装
二级类目高偏好,牛仔裤
二级类目高偏好,羊绒衫
二级类目高偏好,背心吊带
二级类目高偏好,马夹
二级类目高偏好,帽子
二级类目高偏好,风衣
二级类目高偏好,户外服装
二级类目高偏好,时装单鞋
二级类目高偏好,卫衣/绒衫
二级类目高偏好,发饰
二级类目高偏好,羽绒服饰/羽绒内胆
二级类目高偏好,靴子
二级类目高偏好,项链
二级类目高偏好,黄金首饰（新）
二级类目高偏好,毛衣/针织衫
二级类目高偏好,裤子
二级类目高偏好,耳饰
二级类目高偏好,时尚雪地靴
二级类目高偏好,套装/学生校服/工作制服
二级类目高偏好,短袜/打底袜/丝袜/美腿袜（新）
二级类目高偏好,睡衣/家居服套装
二级类目高偏好,卫裤
二级类目高偏好,女士包袋新
二级类目高偏好,手链
二级类目高偏好,唐装/民族服装/舞台服装
二级类目高偏好,皮衣
二级类目高偏好,面部精华（新）
二级类目高偏好,运动羽绒服
二级类目高偏好,派克服
二级类目高偏好,外套/夹克/大衣
二级类目高偏好,文胸
二级类目高偏好,运动休闲鞋
二级类目高偏好,拖鞋
二级类目高偏好,棉衣/棉服
二级类目高偏好,婚纱/旗袍/礼服
二级类目高偏好,海外膳食营养补充食品
二级类目高偏好,休闲鞋
二级类目高偏好,针织衫/毛衣
二级类目高偏好,摆件类
二级类目高偏好,唇部彩妆
二级类目高偏好,瑜伽
二级类目高偏好,杯子/水杯/水壶
二级类目高偏好,汉服
二级类目高偏好,运动茄克/外套
二级类目高偏好,床品套件
二级类目高偏好,保暖上装
二级类目高偏好,蕾丝衫/雪纺衫
二级类目高偏好,女士服装
二级类目高偏好,保暖套装
二级类目高偏好,戒指/指环
二级类目高偏好,毛绒/玩偶/公仔/布艺类玩具
二级类目高偏好,女士内裤（不含男士）
二级类目高偏好,运动裤
二级类目高偏好,儿童读物/童书
二级类目高偏好,真丝上装
二级类目高偏好,卫衣/绒衫
二级类目高偏好,乳液/面霜
二级类目高偏好,K金首饰
二级类目高偏好,身体护理（新）
二级类目高偏好,羽绒服
二级类目高偏好,家庭收纳用具
二级类目高偏好,面膜（新）
二级类目高偏好,套装
二级类目高偏好,手套
二级类目高偏好,T恤
二级类目高偏好,眼部彩妆
二级类目高偏好,香水/香水用品
二级类目高偏好,餐具
二级类目高偏好,赠品
二级类目高偏好,居家鞋/凉拖/棉拖(新)
二级类目高偏好,架类
二级类目高偏好,鞋包/皮带配件
二级类目高偏好,新鲜水果
二级类目高偏好,儿童袜子(0-16岁)
二级类目高偏好,节日用品
二级类目高偏好,面部彩妆
二级类目高偏好,茶具
二级类目高偏好,运动卫衣/套头衫
二级类目高偏好,保暖裤
二级类目高偏好,面部护理套装
二级类目高偏好,考试/教材/教辅/论文
二级类目高偏好,T恤
二级类目高偏好,大码女装(新)
二级类目高偏好,时尚防晒服
二级类目高偏好,帽子/围巾/口罩/手套/耳套/脚套
二级类目高偏好,柜类
二级类目高偏好,棉袄/棉服
二级类目高偏好,手部保养（新）
二级类目高偏好,化妆水/爽肤水
二级类目高偏好,胸针
二级类目高偏好,裙子(新)
二级类目高偏好,美容工具
二级类目高偏好,创意礼品
二级类目高偏好,DIY配件
二级类目高偏好,手机配件
二级类目高偏好,头发清洁
二级类目高偏好,运动鞋
二级类目高偏好,儿童内衣裤
二级类目高偏好,双肩背包
二级类目高偏好,洁面
二级类目高偏好,跑步鞋
二级类目高偏好,靠枕/抱枕新
二级类目高偏好,被子
二级类目高偏好,衬衫
二级类目高偏好,夹克
二级类目高偏好,装扮用品
二级类目高偏好,休闲毯/毛毯/绒毯
二级类目高偏好,纸张本册
二级类目高偏好,香薰用品
二级类目高偏好,儿童家居服
二级类目高偏好,装饰画
二级类目高偏好,饮料
二级类目高偏好,箱包
二级类目高偏好,坐具类
二级类目高偏好,蜜饯/枣类/梅/果干/冻干
二级类目高偏好,牛肉干/猪肉脯/卤味零食
二级类目高偏好,坐垫/椅垫/沙发垫
二级类目高偏好,马甲
二级类目高偏好,婚庆用品
二级类目高偏好,桌类
二级类目高偏好,方便面/拉面/挂面/轻食面速食
二级类目高偏好,头发护理
二级类目高偏好,户外鞋靴
二级类目高偏好,天然珍珠（新）
二级类目高偏好,儿童旗袍/唐装/民族服装
二级类目高偏好,地毯
二级类目高偏好,卫衣
二级类目高偏好,休闲裤
二级类目高偏好,身体清洁
二级类目高偏好,摆件
二级类目高偏好,眼部护理（新）
二级类目高偏好,巧克力
二级类目高偏好,饼干/膨化
二级类目高偏好,游泳
二级类目高偏好,厨房储物
二级类目高偏好,睡裙
二级类目高偏好,中式糕点
二级类目高偏好,贴饰
二级类目高偏好,衣物洗/晒/护理用具
二级类目高偏好,卷/直发器
二级类目高偏好,烹饪用具
二级类目高偏好,卫生巾/私处护理
二级类目高偏好,速溶咖啡/咖啡豆/粉
二级类目高偏好,艾灸/艾草/艾条/艾制品
二级类目高偏好,唇部护理（新）
二级类目高偏好,沙发类
二级类目高偏好,花瓶/花器/仿真花/仿真饰品
二级类目高偏好,板鞋
二级类目高偏好,休闲家具
二级类目高偏好,珠宝首饰
二级类目高偏好,枕头
二级类目高偏好,耳套
二级类目高偏好,液态奶/常温乳制品
二级类目高偏好,儿童家具
二级类目高偏好,地垫(新)
二级类目高偏好,健身服装
二级类目高偏好,运动T恤
二级类目高偏好,餐桌布艺
二级类目高偏好,糖果零食
二级类目高偏好,婴童护肤
二级类目高偏好,腰带/皮带/腰链
二级类目高偏好,面点/西式速食
二级类目高偏好,西式糕点
二级类目高偏好,儿童靴子
二级类目高偏好,烘焙成品
二级类目高偏好,洗漱清洁/护理用品
二级类目高偏好,睡袋/凉席/枕头/床品/浴巾
二级类目高偏好,连身衣/爬服/哈衣
二级类目高偏好,冲饮品/食补粉粉
二级类目高偏好,家居类灯饰
二级类目高偏好,几类
二级类目高偏好,花卉/绿植盆栽（新）
二级类目高偏好,家私/皮具护理品
二级类目高偏好,山核桃/坚果/炒货
二级类目高偏好,其他配件
二级类目高偏好,家庭整理用具
二级类目高偏好,普通膳食营养食品
二级类目高偏好,缝纫DIY材料、工具及成品
二级类目高偏好,调味品/果酱/沙拉/干副食
二级类目高偏好,笔类/书写工具
二级类目高偏好,衣物鞋包清洁剂/护理剂
二级类目高偏好,居家日用
二级类目高偏好,海鲜/水产品/制品
二级类目高偏好,文化创意用品
二级类目高偏好,口腔护理
二级类目高偏好,毛呢大衣
二级类目高偏好,睡袍/浴袍
二级类目高偏好,日常学习用品
二级类目高偏好,凉鞋
二级类目高偏好,鲜食饮品
二级类目高偏好,个人洗护清洁用具
二级类目高偏好,旅行箱
二级类目高偏好,南北干货/肉类干货
二级类目高偏好,身体护理
二级类目高偏好,卫浴/置物用具
二级类目高偏好,项坠/吊坠
二级类目高偏好,假发
二级类目高偏好,手镯
二级类目高偏好,家庭环境清洁剂
二级类目高偏好,儿童配饰
二级类目高偏好,光学眼镜
二级类目高偏好,潮玩盲盒
二级类目高偏好,运动户外
二级类目高偏好,蔬菜
二级类目高偏好,保暖贴/怀炉/保暖用品
二级类目高偏好,暖风机/取暖器
二级类目高偏好,手帕
二级类目高偏好,咖啡器具
二级类目高偏好,家居香薰
二级类目高偏好,印刷制品
二级类目高偏好,婴幼童鞋
二级类目高偏好,挎包/拎包/休闲包
二级类目高偏好,食疗滋补营养
二级类目高偏好,水果
二级类目高偏好,卸妆
二级类目高偏好,中老年女装
